ip,whois_network_age_days,port_count_bucket,has_non_web_ports,root_2xx_html,root_redirect_like,http_any_is_html,http_any_supports_http2,server_family,cert_present,cert_validation_group,cert_remaining_days,cert_chain_len,cert_recently_issued,cert_short_lived,cert_age_ratio,has_dns_names_data,dns_num_labels,dns_max_label_length,dns_label_entropy,dns_brand_plus_auth_combo,dns_has_brand_token,dns_suspicious_token_count,dns_has_digit_hyphen_pattern,dns_has_punycode,label
103.153.182.197,0.0,4_plus,1,1,0,1,0,common_self_managed,1,dv,5.937536205082426,0.6931471805599453,1,1,0.0,1,8,26,1.892540525484777,1,1,6,1,0,1
172.67.142.242,8.081165777725433,4_plus,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,23,1.9264765273162818,0,0,5,1,0,1
101.32.98.175,0.0,2_3,1,0,0,1,0,common_self_managed,1,dv,6.982862751468942,1.3862943611198906,1,0,0.0,1,2,11,2.431287968770136,0,0,0,0,0,1
47.243.89.52,0.0,4_plus,1,0,1,1,1,common_self_managed,1,dv,6.747586526829315,0.6931471805599453,1,1,0.0,1,3,19,2.1558033359299094,0,0,1,0,0,1
172.67.183.83,8.081165777725433,4_plus,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,5,25,1.9432307601580874,0,0,5,1,1,1
216.40.34.41,9.060331104649475,1,0,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,24,2.1651180125444656,1,1,4,1,0,1
170.75.163.162,8.158229916959494,2_3,1,1,0,1,0,common_self_managed,1,dv,6.690842277418564,0.6931471805599453,1,1,0.0,1,6,14,1.8601216214045335,0,0,1,1,0,1
78.47.146.138,8.449770515098804,4_plus,1,1,0,1,0,common_self_managed,1,dv,6.728628613084702,0.6931471805599453,1,1,0.0,1,5,27,2.1855594496240247,0,0,4,0,0,1
188.114.96.7,8.006367567650246,4_plus,1,0,0,1,1,edge_or_cdn,1,dv,6.726233402358747,1.0986122886681096,1,1,0.0,1,4,20,1.785556314566705,0,0,3,0,0,1
64.29.17.67,0.0,2_3,0,0,1,0,1,other,1,dv,6.7357800142423265,0.6931471805599453,1,1,0.0,1,4,29,1.9465762659718184,0,0,3,1,0,1
185.27.134.102,8.260751354700513,1,0,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,27,1.9460360225286057,1,1,6,1,1,1
178.211.133.15,6.561030665896573,4_plus,1,0,0,1,1,other,1,dv,6.733401891837359,0.6931471805599453,1,1,0.0,1,5,26,2.0799951918485022,0,0,2,0,0,1
104.26.11.157,8.17948018535889,4_plus,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,19,2.057497974556394,0,0,4,1,0,1
50.6.206.247,8.483843211734683,4_plus,1,1,0,1,1,common_self_managed,1,dv,6.744059186311348,0.6931471805599453,1,1,0.0,1,5,23,1.7379885268474369,0,0,2,0,0,1
31.22.4.234,8.37378460812088,1,1,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,5,19,1.936325702029187,1,1,4,0,0,1
162.159.138.60,8.262558973010657,4_plus,1,0,0,1,0,edge_or_cdn,1,dv,6.7226297948554485,1.0986122886681096,1,1,0.0,1,4,17,2.0051818967403148,1,1,4,0,0,0
150.171.28.10,7.993282328101591,2_3,0,0,0,0,1,unknown,1,ov_ev,6.823286122355687,0.6931471805599453,1,0,0.0,1,5,23,1.8681577190869953,1,1,5,1,0,0
216.239.32.29,9.04085606398372,2_3,0,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,4,21,2.1823165082311413,0,1,3,1,0,0
150.171.22.12,7.993282328101591,2_3,0,0,0,0,1,unknown,1,ov_ev,6.813444599510896,0.6931471805599453,1,0,0.0,1,4,16,1.7494340114250226,0,1,3,1,0,0
